Simulation Time(s),Actual Time(in 24hr),Section ID,Flow (veh/hr)
0.00,0:00,45821,73334784.00
0.00,0:00,45824,73334784.00
0.00,0:00,45825,73334784.00
0.00,0:00,45831,73334784.00
0.00,0:00,45832,73334784.00
0.00,0:00,45838,73334784.00
0.00,0:00,45842,73334784.00
0.00,0:00,45843,73334784.00
0.00,0:00,45846,73334784.00
0.00,0:00,45856,73334784.00
0.00,0:00,45857,73334784.00
0.00,0:00,45864,73334784.00
0.00,0:00,45867,73334784.00
0.00,0:00,45868,73334784.00
0.00,0:00,45871,73334784.00
0.00,0:00,45888,73334784.00
0.00,0:00,45889,73334784.00
0.00,0:00,45890,73334784.00
0.00,0:00,45893,73334784.00
0.00,0:00,45903,73334784.00
0.00,0:00,45906,73334784.00
0.00,0:00,45910,73334784.00
0.00,0:00,45911,73334784.00
0.00,0:00,45912,73334784.00
0.00,0:00,45913,73334784.00
0.00,0:00,45928,73334784.00
0.00,0:00,45929,73334784.00
0.00,0:00,45930,73334784.00
0.00,0:00,45933,73334784.00
0.00,0:00,45943,73334784.00
0.00,0:00,45948,73334784.00
0.00,0:00,45951,73334784.00
0.00,0:00,45954,73334784.00
0.00,0:00,45964,73334784.00
0.00,0:00,45965,73334784.00
0.00,0:00,45966,73334784.00
0.00,0:00,45969,73334784.00
0.00,0:00,45979,73334784.00
0.00,0:00,45983,73334784.00
0.00,0:00,45984,73334784.00
0.00,0:00,45987,73334784.00
0.00,0:00,45997,73334784.00
0.00,0:00,46000,73334784.00
0.00,0:00,46003,73334784.00
0.00,0:00,46004,73334784.00
0.00,0:00,46012,73334784.00
0.00,0:00,46016,73334784.00
0.00,0:00,46017,73334784.00
0.00,0:00,46020,73334784.00
0.00,0:00,46030,73334784.00
0.00,0:00,46031,73334784.00
0.00,0:00,46032,73334784.00
0.00,0:00,46046,73334784.00
0.00,0:00,46049,73334784.00
0.00,0:00,46050,73334784.00
0.00,0:00,46051,73334784.00
0.00,0:00,46052,73334784.00
0.00,0:00,46053,73334784.00
0.00,0:00,46056,73334784.00
0.00,0:00,46059,73334784.00
0.00,0:00,46075,73334784.00
0.00,0:00,46076,73334784.00
0.00,0:00,46077,73334784.00
0.00,0:00,46078,73334784.00
0.00,0:00,46079,73334784.00
0.00,0:00,46080,73334784.00
0.00,0:00,46102,73334784.00
0.00,0:00,46105,73334784.00
0.00,0:00,46109,73334784.00
0.00,0:00,46112,73334784.00
0.00,0:00,46115,73334784.00
0.00,0:00,46118,73334784.00
0.00,0:00,46121,73334784.00
0.00,0:00,46122,73334784.00
0.00,0:00,46123,73334784.00
0.00,0:00,46124,73334784.00
0.00,0:00,46139,73334784.00
0.00,0:00,46142,73334784.00
0.00,0:00,46143,73334784.00
0.00,0:00,46146,73334784.00
0.00,0:00,46157,73334784.00
0.00,0:00,46160,73334784.00
0.00,0:00,46163,73334784.00
0.00,0:00,46166,73334784.00
0.00,0:00,46175,73334784.00
0.00,0:00,46178,73334784.00
0.00,0:00,46179,73334784.00
0.00,0:00,46182,73334784.00
0.00,0:00,46193,73334784.00
0.00,0:00,46197,73334784.00
0.00,0:00,46200,73334784.00
0.00,0:00,46203,73334784.00
0.00,0:00,46214,73334784.00
0.00,0:00,46218,73334784.00
0.00,0:00,46219,73334784.00
0.00,0:00,46222,73334784.00
0.00,0:00,46233,73334784.00
0.00,0:00,46236,73334784.00
0.00,0:00,46237,73334784.00
0.00,0:00,46244,73334784.00
0.00,0:00,46245,73334784.00
0.00,0:00,46246,73334784.00
0.00,0:00,46249,73334784.00
0.00,0:00,46252,73334784.00
0.00,0:00,46255,73334784.00
0.00,0:00,46271,73334784.00
0.00,0:00,46272,73334784.00
0.00,0:00,46273,73334784.00
0.00,0:00,46276,73334784.00
0.00,0:00,46287,73334784.00
0.00,0:00,46288,73334784.00
0.00,0:00,46289,73334784.00
0.00,0:00,46292,73334784.00
0.00,0:00,46295,73334784.00
0.00,0:00,46298,73334784.00
0.00,0:00,46301,73334784.00
0.00,0:00,46315,73334784.00
0.00,0:00,46318,73334784.00
0.00,0:00,46321,73334784.00
0.00,0:00,46322,73334784.00
0.00,0:00,46323,73334784.00
0.00,0:00,46327,73334784.00
0.00,0:00,46342,73334784.00
0.00,0:00,46343,73334784.00
0.00,0:00,46344,73334784.00
0.00,0:00,46347,73334784.00
0.00,0:00,46358,73334784.00
0.00,0:00,46359,73334784.00
0.00,0:00,46360,73334784.00
0.00,0:00,46361,73334784.00
0.00,0:00,46362,73334784.00
0.00,0:00,46365,73334784.00
0.00,0:00,46382,73334784.00
0.00,0:00,46383,73334784.00
0.00,0:00,46389,73334784.00
0.00,0:00,46392,73334784.00
0.00,0:00,46403,73334784.00
0.00,0:00,46405,73334784.00
0.00,0:00,46411,73334784.00
0.00,0:00,46414,73334784.00
0.00,0:00,46424,73334784.00
0.00,0:00,46427,73334784.00
0.00,0:00,46428,73334784.00
0.00,0:00,46436,73334784.00
0.00,0:00,46437,73334784.00
0.00,0:00,46438,73334784.00
0.00,0:00,46446,73334784.00
0.00,0:00,46452,73334784.00
0.00,0:00,46455,73334784.00
0.00,0:00,46463,73334784.00
0.00,0:00,46464,73334784.00
0.00,0:00,46465,73334784.00
0.00,0:00,46468,73334784.00
0.00,0:00,46478,73334784.00
0.00,0:00,46488,73334784.00
0.00,0:00,46489,73334784.00
0.00,0:00,46490,73334784.00
0.00,0:00,46493,73334784.00
0.00,0:00,46504,73334784.00
0.00,0:00,46507,73334784.00
0.00,0:00,46510,73334784.00
0.00,0:00,46511,73334784.00
0.00,0:00,46519,73334784.00
0.00,0:00,46520,73334784.00
0.00,0:00,46521,73334784.00
0.00,0:00,46524,73334784.00
0.00,0:00,46534,73334784.00
0.00,0:00,46537,73334784.00
0.00,0:00,46541,73334784.00
0.00,0:00,46542,73334784.00
0.00,0:00,46545,73334784.00
0.00,0:00,46546,73334784.00
0.00,0:00,46547,73334784.00
0.00,0:00,46550,73334784.00
0.00,0:00,46554,73334784.00
0.00,0:00,46555,73334784.00
0.00,0:00,46577,73334784.00
0.00,0:00,46589,73334784.00
0.00,0:00,46593,73334784.00
0.00,0:00,46596,73334784.00
0.00,0:00,46599,73334784.00
0.00,0:00,46609,73334784.00
0.00,0:00,46610,73334784.00
0.00,0:00,46611,73334784.00
0.00,0:00,46614,73334784.00
0.00,0:00,46624,73334784.00
0.00,0:00,46627,73334784.00
0.00,0:00,46630,73334784.00
0.00,0:00,46633,73334784.00
0.00,0:00,46637,73334784.00
0.00,0:00,46638,73334784.00
0.00,0:00,46650,73334784.00
0.00,0:00,46654,73334784.00
0.00,0:00,46657,73334784.00
0.00,0:00,46660,73334784.00
0.00,0:00,46663,73334784.00
0.00,0:00,46664,73334784.00
0.00,0:00,46665,73334784.00
0.00,0:00,46667,73334784.00
0.00,0:00,46670,73334784.00
0.00,0:00,46676,73334784.00
0.00,0:00,46679,73334784.00
0.00,0:00,46682,73334784.00
0.00,0:00,46703,73334784.00
0.00,0:00,46728,73334784.00
0.00,0:00,46731,73334784.00
0.00,0:00,46734,73334784.00
0.00,0:00,46737,73334784.00
0.00,0:00,46740,73334784.00
0.00,0:00,46743,73334784.00
0.00,0:00,46780,73334784.00
0.00,0:00,46781,73334784.00
0.00,0:00,46782,73334784.00
0.00,0:00,46783,73334784.00
0.00,0:00,46784,73334784.00
0.00,0:00,46810,73334784.00
0.00,0:00,46813,73334784.00
0.00,0:00,46823,73334784.00
0.00,0:00,46826,73334784.00
0.00,0:00,46829,73334784.00
0.00,0:00,46832,73334784.00
0.00,0:00,46844,73334784.00
0.00,0:00,46845,73334784.00
0.00,0:00,46846,73334784.00
0.00,0:00,46849,73334784.00
0.00,0:00,46852,73334784.00
0.00,0:00,46853,73334784.00
0.00,0:00,46854,73334784.00
0.00,0:00,46857,73334784.00
0.00,0:00,46860,73334784.00
0.00,0:00,46861,73334784.00
0.00,0:00,46863,73334784.00
0.00,0:00,46864,73334784.00
0.00,0:00,46865,73334784.00
0.00,0:00,46866,73334784.00
0.00,0:00,46867,73334784.00
0.00,0:00,46870,73334784.00
0.00,0:00,46873,73334784.00
0.00,0:00,46876,73334784.00
0.00,0:00,46877,73334784.00
0.00,0:00,46878,73334784.00
0.00,0:00,46885,73334784.00
0.00,0:00,46888,73334784.00
0.00,0:00,46891,73334784.00
0.00,0:00,46936,73334784.00
0.00,0:00,46939,73334784.00
0.00,0:00,46942,73334784.00
0.00,0:00,46943,73334784.00
0.00,0:00,46953,73334784.00
0.00,0:00,46954,73334784.00
0.00,0:00,46955,73334784.00
0.00,0:00,46958,73334784.00
0.00,0:00,46961,73334784.00
0.00,0:00,46964,73334784.00
0.00,0:00,46967,73334784.00
0.00,0:00,46970,73334784.00
0.00,0:00,46981,73334784.00
0.00,0:00,46984,73334784.00
0.00,0:00,46987,73334784.00
0.00,0:00,46988,73334784.00
0.00,0:00,46996,73334784.00
0.00,0:00,46997,73334784.00
0.00,0:00,46998,73334784.00
0.00,0:00,47001,73334784.00
0.00,0:00,47012,73334784.00
0.00,0:00,47013,73334784.00
0.00,0:00,47020,73334784.00
0.00,0:00,47023,73334784.00
0.00,0:00,47034,73334784.00
0.00,0:00,47035,73334784.00
0.00,0:00,47036,73334784.00
0.00,0:00,47039,73334784.00
0.00,0:00,47050,73334784.00
0.00,0:00,47051,73334784.00
0.00,0:00,47052,73334784.00
0.00,0:00,47055,73334784.00
0.00,0:00,47066,73334784.00
0.00,0:00,47067,73334784.00
0.00,0:00,47068,73334784.00
0.00,0:00,47071,73334784.00
0.00,0:00,47082,73334784.00
0.00,0:00,47083,73334784.00
0.00,0:00,47084,73334784.00
0.00,0:00,47087,73334784.00
0.00,0:00,47098,73334784.00
0.00,0:00,47101,73334784.00
0.00,0:00,47104,73334784.00
0.00,0:00,47105,73334784.00
0.00,0:00,47114,73334784.00
0.00,0:00,47115,73334784.00
0.00,0:00,47116,73334784.00
0.00,0:00,47119,73334784.00
0.00,0:00,47130,73334784.00
0.00,0:00,47133,73334784.00
0.00,0:00,47136,73334784.00
0.00,0:00,47137,73334784.00
0.00,0:00,47145,73334784.00
0.00,0:00,47146,73334784.00
0.00,0:00,47147,73334784.00
0.00,0:00,47150,73334784.00
0.00,0:00,47190,73334784.00
0.00,0:00,47196,73334784.00
0.00,0:00,47197,73334784.00
0.00,0:00,47200,73334784.00
0.00,0:00,47211,73334784.00
0.00,0:00,47213,73334784.00
0.00,0:00,47214,73334784.00
